rank	word	count	freq	log_rank	log_freq
136	found	158	0.00094025	2.1335	-3.0268
137	wrong	157	0.0009343	2.1367	-3.0295
138	compendium	155	0.00092239	2.1399	-3.0351
139	arising	155	0.00092239	2.143	-3.0351
140	cause	154	0.00091644	2.1461	-3.0379
141	beings	153	0.00091049	2.1492	-3.0407
142	seven	153	0.00091049	2.1523	-3.0407
143	view	151	0.00089859	2.1553	-3.0464
144	death	150	0.00089264	2.1584	-3.0493
145	does	149	0.00088669	2.1614	-3.0522
146	like	149	0.00088669	2.1644	-3.0522
147	råpa	149	0.00088669	2.1673	-3.0522
148	equanimity	148	0.00088074	2.1703	-3.0552
149	iv	148	0.00088074	2.1732	-3.0552
150	each	145	0.00086288	2.1761	-3.064
151	do	144	0.00085693	2.179	-3.0671
152	being	142	0.00084503	2.1818	-3.0731
153	joy	141	0.00083908	2.1847	-3.0762
154	together	137	0.00081528	2.1875	-3.0887
155	faculty	136	0.00080933	2.1903	-3.0919
156	time	135	0.00080338	2.1931	-3.0951
157	jhána	135	0.00080338	2.1959	-3.0951
158	conditions	134	0.00079742	2.1987	-3.0983
159	after	131	0.00077957	2.2014	-3.1081
160	insight	130	0.00077362	2.2041	-3.1115
161	was	130	0.00077362	2.2068	-3.1115
162	physical	130	0.00077362	2.2095	-3.1115
163	cetasikas	129	0.00076767	2.2122	-3.1148
164	then	128	0.00076172	2.2148	-3.1182
165	term	128	0.00076172	2.2175	-3.1182
166	things	127	0.00075577	2.2201	-3.1216
167	groups	126	0.00074982	2.2227	-3.125
168	chapter	126	0.00074982	2.2253	-3.125
169	nàma	126	0.00074982	2.2279	-3.125
170	wisdom	125	0.00074387	2.2304	-3.1285
171	past	125	0.00074387	2.233	-3.1285
172	hatred	124	0.00073792	2.2355	-3.132
173	beautiful	123	0.00073196	2.238	-3.1355
174	second	123	0.00073196	2.2405	-3.1355
175	used	122	0.00072601	2.243	-3.1391
176	good	122	0.00072601	2.2455	-3.1391
177	pleasure	122	0.00072601	2.248	-3.1391
178	greed	121	0.00072006	2.2504	-3.1426
179	doors	121	0.00072006	2.2529	-3.1426
180	twenty	121	0.00072006	2.2553	-3.1426
181	moments	121	0.00072006	2.2577	-3.1426
182	immoral	121	0.00072006	2.2601	-3.1426
183	rooted	120	0.00071411	2.2625	-3.1462
184	form	120	0.00071411	2.2648	-3.1462
185	kusala	120	0.00071411	2.2672	-3.1462
186	functional	118	0.00070221	2.2695	-3.1535
187	mindfulness	118	0.00070221	2.2718	-3.1535
188	case	118	0.00070221	2.2742	-3.1535
189	craving	116	0.00069031	2.2765	-3.161
190	ear	115	0.00068436	2.2788	-3.1647
191	known	114	0.00067841	2.281	-3.1685
192	different	113	0.00067245	2.2833	-3.1723
193	attachment	112	0.0006665	2.2856	-3.1762
194	concentration	112	0.0006665	2.2878	-3.1762
195	functions	111	0.00066055	2.29	-3.1801
196	application	111	0.00066055	2.2923	-3.1801
197	if	111	0.00066055	2.2945	-3.1801
198	delusion	110	0.0006546	2.2967	-3.184
199	world	110	0.0006546	2.2989	-3.184
200	resultants	110	0.0006546	2.301	-3.184
